Index,Time,(MiniPC_Data).is_shoot,(MiniPC_Data).buff_yaw,(MiniPC_Data).buff_pitch,((Shoot_Control).feed_ang).ref
7658,7.658239,0,-5620,-1592,1100.72925
7659,7.659092,0,-5620,-1592,1100.72925
7660,7.660091,0,-5629,-1587,1100.72925
7661,7.661085,0,-5629,-1587,1100.72925
7662,7.662085,0,-5629,-1587,1100.72925
7663,7.663153,0,-5629,-1587,1100.72925
7664,7.664087,0,-5629,-1587,1100.72925
7665,7.665107,0,-5629,-1587,1100.72925
7666,7.666155,0,-5629,-1587,1100.72925
7667,7.667087,0,-5629,-1587,1100.72925
7668,7.668139,0,-5629,-1587,1100.72925
7669,7.669100,0,-5629,-1587,1100.72925
7670,7.670087,0,-5629,-1587,1100.72925
7671,7.671092,0,-5629,-1587,1100.72925
7672,7.672085,0,-5629,-1587,1100.72925
7673,7.673090,0,-5629,-1587,1100.72925
7674,7.674092,0,-5629,-1587,1100.72925
7675,7.675089,0,-5629,-1587,1100.72925
7676,7.676091,0,-5629,-1587,1100.72925
7677,7.677087,0,-5629,-1587,1100.72925
7678,7.678113,0,-5629,-1587,1100.72925
7679,7.679103,0,-5629,-1587,1100.72925
7680,7.680090,0,-5629,-1587,1100.72925
7681,7.681087,0,-5629,-1587,1100.72925
7682,7.682088,0,-5629,-1587,1100.72925
7683,7.683092,0,-5629,-1587,1100.72925
7684,7.684093,0,-5629,-1587,1100.72925
7685,7.685088,0,-5629,-1587,1100.72925
7686,7.686089,0,-5629,-1587,1100.72925
7687,7.687085,0,-5626,-1586,1100.72925
7688,7.688086,0,-5626,-1586,1100.72925
7689,7.689115,0,-5626,-1586,1100.72925
7690,7.690102,0,-5626,-1586,1100.72925
7691,7.691085,0,-5626,-1586,1100.72925
7692,7.692090,0,-5626,-1586,1100.72925
7693,7.693091,0,-5626,-1586,1100.72925
7694,7.694087,0,-5626,-1586,1100.72925
7695,7.695087,0,-5626,-1586,1100.72925
7696,7.696092,0,-5626,-1586,1100.72925
7697,7.697093,0,-5626,-1586,1100.72925
7698,7.698089,0,-5626,-1586,1100.72925
7699,7.699091,0,-5626,-1586,1100.72925
7700,7.700114,0,-5626,-1586,1100.72925
7701,7.701103,0,-5626,-1586,1100.72925
7702,7.702085,0,-5626,-1586,1100.72925
7703,7.703099,0,-5626,-1586,1100.72925
7704,7.704085,0,-5626,-1586,1100.72925
7705,7.705090,0,-5626,-1586,1100.72925
7706,7.706092,0,-5626,-1586,1100.72925
7707,7.707087,0,-5626,-1586,1100.72925
7708,7.708088,0,-5626,-1586,1100.72925
7709,7.709093,0,-5626,-1586,1100.72925
7710,7.710089,0,-5626,-1586,1100.72925
7711,7.711093,0,-5626,-1586,1100.72925
7712,7.712100,0,-5626,-1586,1100.72925
7713,7.713092,0,-5626,-1586,1100.72925
7714,7.714089,0,-5626,-1586,1100.72925
7715,7.715090,0,-5614,-1590,1100.72925
7716,7.716085,0,-5614,-1590,1100.72925
7717,7.717087,0,-5614,-1590,1100.72925
7718,7.718092,0,-5614,-1590,1100.72925
7719,7.719085,0,-5614,-1590,1100.72925
7720,7.720093,0,-5614,-1590,1100.72925
7721,7.721086,0,-5614,-1590,1100.72925
7722,7.722092,0,-5614,-1590,1100.72925
7723,7.723093,0,-5614,-1590,1100.72925
7724,7.724101,0,-5614,-1590,1100.72925
7725,7.725085,0,-5614,-1590,1100.72925
7726,7.726091,0,-5614,-1590,1100.72925
7727,7.727092,0,-5614,-1590,1100.72925
7728,7.728089,0,-5614,-1590,1100.72925
7729,7.729090,0,-5614,-1590,1100.72925
7730,7.730090,0,-5614,-1590,1100.72925
7731,7.731092,0,-5614,-1590,1100.72925
7732,7.732088,0,-5614,-1590,1100.72925
7733,7.733090,0,-5614,-1590,1100.72925
7734,7.734086,0,-5614,-1590,1100.72925
7735,7.735088,0,-5614,-1590,1100.72925
7736,7.736101,0,-5614,-1590,1100.72925
7737,7.737085,0,-5614,-1590,1100.72925
7738,7.738091,0,-5614,-1590,1100.72925
7739,7.739093,0,-5614,-1590,1100.72925
7740,7.740092,0,-5614,-1590,1100.72925
7741,7.741093,0,-5614,-1590,1100.72925
7742,7.742090,0,-5619,-1586,1100.72925
7743,7.743091,0,-5619,-1586,1100.72925
7744,7.744088,0,-5619,-1586,1100.72925
7745,7.745089,0,-5619,-1586,1100.72925
7746,7.746086,0,-5619,-1586,1100.72925
7747,7.747087,0,-5619,-1586,1100.72925
7748,7.748099,0,-5619,-1586,1100.72925
7749,7.749091,0,-5619,-1586,1100.72925
7750,7.750090,0,-5619,-1586,1100.72925
7751,7.751091,0,-5619,-1586,1100.72925
7752,7.752087,0,-5619,-1586,1100.72925
7753,7.753088,0,-5619,-1586,1100.72925
7754,7.754085,0,-5619,-1586,1100.72925
7755,7.755085,0,-5619,-1586,1100.72925
7756,7.756090,0,-5619,-1586,1100.72925
7757,7.757091,0,-5619,-1586,1100.72925
7758,7.758134,0,-5619,-1586,1100.72925
7759,7.759119,0,-5619,-1586,1100.72925
7760,7.760088,0,-5619,-1586,1100.72925
7761,7.761093,0,-5619,-1586,1100.72925
7762,7.762085,0,-5619,-1586,1100.72925
7763,7.763090,0,-5619,-1586,1100.72925
7764,7.764091,0,-5619,-1586,1100.72925
7765,7.765087,0,-5619,-1586,1100.72925
7766,7.766088,0,-5619,-1586,1100.72925
7767,7.767093,0,-5644,-1575,1100.72925
7768,7.768094,0,-5644,-1575,1100.72925
7769,7.769089,0,-5644,-1575,1100.72925
7770,7.770085,0,-5644,-1575,1100.72925
7771,7.771090,0,-5644,-1575,1100.72925
7772,7.772107,0,-5644,-1575,1100.72925
7773,7.773089,0,-5644,-1575,1100.72925
7774,7.774086,0,-5644,-1575,1100.72925
7775,7.775087,0,-5644,-1575,1100.72925
7776,7.776091,0,-5644,-1575,1100.72925
7777,7.777092,0,-5644,-1575,1100.72925
7778,7.778089,0,-5644,-1575,1100.72925
7779,7.779090,0,-5644,-1575,1100.72925
7780,7.780088,0,-5644,-1575,1100.72925
7781,7.781089,0,-5644,-1575,1100.72925
